Temperature_C,Humidity_pct,Catalyst_pct,NCO_OH_Ratio,Pot_Life_min
16.8,70.9,0.166,1.07,80.0
18.9,32.0,0.153,1.07,88.0
15.9,74.5,0.213,1.13,90.0
21.5,79.6,0.186,1.12,79.0
22.8,44.7,0.066,1.06,140.0
20.4,40.5,0.178,1.05,89.0
31.6,68.3,0.252,1.07,47.0
22.1,42.7,0.165,1.09,96.0
20.6,73.3,0.063,1.04,153.0
25.9,35.1,0.247,1.12,36.0
17.8,36.3,0.1,1.07,129.0
31.0,79.0,0.115,1.05,62.0
16.5,63.7,0.091,1.02,144.0
34.7,72.3,0.133,1.04,50.0
30.4,46.2,0.239,1.14,53.0
19.0,63.8,0.18,1.05,93.0
15.1,59.7,0.101,1.03,144.0
31.3,60.2,0.269,1.07,45.0
29.1,64.1,0.27,1.05,42.0
29.6,58.8,0.268,1.01,40.0
30.4,51.5,0.11,1.05,82.0
16.5,43.8,0.163,1.08,104.0
22.2,68.4,0.296,1.08,66.0
17.3,41.3,0.243,1.05,66.0
32.3,64.6,0.057,1.07,102.0
27.5,41.7,0.066,1.14,119.0
21.6,61.3,0.166,1.06,83.0
16.3,67.4,0.277,1.04,79.0
21.2,40.9,0.185,1.04,79.0
21.5,33.0,0.174,1.07,71.0
29.6,36.5,0.076,1.11,109.0
27.8,60.3,0.214,1.03,57.0
32.7,72.5,0.256,1.11,17.0
24.4,32.2,0.145,1.0,83.0
17.4,66.7,0.244,1.06,59.0
29.3,47.1,0.291,1.12,35.0
30.2,53.9,0.101,1.05,73.0
26.2,76.4,0.181,1.08,65.0
30.4,46.6,0.122,1.03,72.0
24.9,53.3,0.248,1.11,43.0
25.5,30.7,0.194,1.01,73.0
23.6,34.1,0.209,1.13,56.0
15.5,42.9,0.249,1.03,84.0
17.2,31.4,0.149,1.13,102.0
15.6,61.6,0.279,1.05,69.0
27.7,51.3,0.183,1.11,63.0
21.3,57.4,0.089,1.05,127.0
25.2,38.7,0.224,1.14,70.0
33.2,44.8,0.248,1.02,38.0
20.0,63.2,0.129,1.03,103.0
23.2,78.3,0.264,1.07,46.0
30.1,32.5,0.277,1.01,45.0
19.6,74.5,0.119,1.03,109.0
16.5,58.8,0.296,1.14,66.0
20.8,58.2,0.085,1.15,114.0
18.2,55.0,0.101,1.06,132.0
33.6,33.5,0.096,1.14,79.0
31.2,34.5,0.273,1.08,36.0
27.7,60.0,0.214,1.04,41.0
32.4,47.0,0.088,1.11,93.0
31.1,75.9,0.16,1.1,55.0
18.7,50.3,0.204,1.15,78.0
32.9,37.2,0.071,1.04,86.0
25.8,65.7,0.271,1.1,39.0
31.1,44.7,0.251,1.01,52.0
32.9,56.3,0.176,1.02,49.0
21.4,64.9,0.292,1.0,48.0
17.2,75.0,0.154,1.15,102.0
19.6,69.6,0.296,1.12,49.0
23.5,63.8,0.217,1.12,72.0
31.4,64.0,0.209,1.08,54.0
32.2,77.3,0.091,1.05,70.0
15.1,44.8,0.27,1.02,73.0
25.2,30.1,0.157,1.04,56.0
23.3,43.6,0.091,1.06,103.0
19.4,40.9,0.053,1.11,177.0
17.4,63.1,0.19,1.08,87.0
21.8,61.7,0.182,1.01,71.0
33.9,59.7,0.23,1.0,26.0
21.5,30.8,0.273,1.02,60.0
25.4,66.4,0.07,1.06,125.0
29.1,46.2,0.233,1.14,52.0
22.3,63.3,0.097,1.1,95.0
34.4,57.8,0.265,1.12,31.0
34.2,47.1,0.255,1.07,25.0
20.0,36.7,0.185,1.05,91.0
24.9,34.7,0.228,1.02,66.0
21.0,71.6,0.129,1.13,87.0
20.7,75.9,0.168,1.12,73.0
15.7,62.5,0.255,1.03,72.0
27.2,35.2,0.165,1.08,50.0
25.1,50.1,0.139,1.07,82.0
16.0,66.4,0.174,1.09,94.0
20.6,69.0,0.257,1.14,67.0
33.2,35.9,0.134,1.09,53.0
19.8,30.0,0.093,1.08,127.0
17.9,65.6,0.228,1.01,62.0
24.8,47.8,0.256,1.01,45.0
34.7,42.7,0.075,1.03,75.0
19.8,30.6,0.11,1.0,127.0
28.4,57.0,0.085,1.11,89.0
30.2,72.6,0.137,1.11,62.0
19.8,77.9,0.163,1.02,81.0
29.6,58.3,0.237,1.13,34.0
22.4,55.7,0.213,1.02,64.0
27.6,34.3,0.205,1.05,63.0
27.7,57.4,0.138,1.04,61.0
25.7,49.0,0.26,1.06,57.0
16.8,60.4,0.168,1.04,90.0
31.7,49.4,0.295,1.07,31.0
21.4,42.0,0.209,1.06,76.0
18.7,34.7,0.082,1.15,144.0
15.8,45.7,0.219,1.01,87.0
26.8,34.8,0.131,1.02,78.0
28.6,38.8,0.222,1.01,53.0
15.3,79.4,0.067,1.09,164.0
25.2,52.2,0.094,1.01,88.0
19.5,56.6,0.264,1.13,68.0
27.9,73.7,0.107,1.08,88.0
18.5,79.8,0.259,1.08,55.0
28.8,59.1,0.12,1.08,72.0
22.7,70.6,0.211,1.03,64.0
33.7,46.3,0.224,1.03,46.0
17.8,45.3,0.178,1.05,76.0
21.8,50.1,0.126,1.09,90.0
17.3,63.6,0.103,1.03,128.0
33.5,64.1,0.058,1.02,105.0
32.5,45.8,0.126,1.15,84.0
20.2,36.7,0.213,1.0,74.0
28.2,61.6,0.285,1.12,29.0
31.3,36.4,0.268,1.12,44.0
26.1,58.9,0.242,1.04,61.0
25.6,64.7,0.247,1.02,50.0
19.8,65.0,0.216,1.02,63.0
16.9,67.7,0.115,1.1,130.0
32.9,73.6,0.277,1.1,36.0
33.0,55.0,0.218,1.12,33.0
27.7,66.5,0.19,1.14,57.0
21.8,61.0,0.078,1.1,139.0
22.0,39.3,0.162,1.02,93.0
29.5,31.3,0.165,1.04,62.0
32.9,44.2,0.266,1.13,34.0
32.7,52.2,0.187,1.03,57.0
30.6,60.9,0.145,1.01,50.0
27.8,72.5,0.294,1.11,41.0
16.7,39.8,0.078,1.06,154.0
18.2,36.3,0.156,1.14,109.0
33.0,78.2,0.061,1.1,94.0
27.1,35.4,0.235,1.01,64.0
15.2,53.9,0.28,1.14,78.0
17.0,59.3,0.12,1.04,110.0
28.3,57.1,0.265,1.05,54.0
15.1,34.3,0.123,1.06,145.0
18.2,32.9,0.278,1.01,77.0
26.0,35.3,0.238,1.07,50.0
28.8,59.3,0.251,1.02,41.0
28.0,57.2,0.055,1.06,131.0
19.5,41.7,0.291,1.05,57.0
29.2,61.9,0.232,1.12,58.0
19.7,71.0,0.126,1.12,102.0
21.5,32.1,0.257,1.02,42.0
29.9,54.9,0.12,1.05,74.0
28.0,64.5,0.268,1.06,39.0
32.0,42.6,0.078,1.02,90.0
28.2,45.4,0.226,1.12,48.0
26.4,60.7,0.185,1.11,66.0
16.9,74.9,0.074,1.03,171.0
22.4,70.5,0.11,1.06,102.0
20.3,59.2,0.053,1.02,176.0
19.9,66.5,0.167,1.09,83.0
34.5,48.2,0.125,1.02,59.0
22.9,62.0,0.2,1.15,59.0
32.8,53.3,0.124,1.12,67.0
27.6,39.5,0.125,1.06,83.0
30.9,65.1,0.236,1.09,52.0
25.1,57.8,0.062,1.14,144.0
26.5,47.9,0.276,1.08,41.0
24.9,75.6,0.263,1.03,53.0
18.9,31.0,0.217,1.06,72.0
29.4,45.8,0.198,1.13,58.0
20.6,32.8,0.273,1.1,60.0
15.5,68.3,0.096,1.1,138.0
27.9,65.1,0.07,1.13,112.0
18.5,46.6,0.11,1.13,101.0
33.8,63.8,0.249,1.14,20.0
34.1,49.8,0.059,1.01,98.0
33.3,67.8,0.196,1.08,42.0
22.4,52.7,0.299,1.11,49.0
15.3,50.6,0.264,1.11,65.0
33.6,76.7,0.18,1.09,35.0
23.6,42.5,0.066,1.03,143.0
34.3,36.0,0.258,1.12,42.0
34.3,59.2,0.2,1.11,40.0
32.1,78.5,0.079,1.01,92.0
20.9,48.9,0.073,1.07,146.0
22.7,33.1,0.277,1.03,52.0
32.0,47.0,0.217,1.05,42.0
21.3,55.3,0.257,1.0,49.0
18.4,38.1,0.27,1.06,69.0
26.1,62.9,0.193,1.08,67.0
33.7,79.9,0.179,1.09,46.0
28.9,52.6,0.158,1.1,73.0
26.4,47.7,0.129,1.13,77.0
16.9,50.0,0.159,1.03,113.0
27.3,35.8,0.243,1.02,50.0
34.8,74.2,0.2,1.13,48.0
17.8,50.7,0.273,1.02,68.0
25.4,49.4,0.161,1.15,77.0
32.5,63.0,0.202,1.13,54.0
29.8,52.1,0.208,1.08,48.0
28.9,62.4,0.198,1.15,52.0
29.0,33.1,0.226,1.01,62.0
22.2,70.7,0.109,1.05,100.0
20.9,77.0,0.178,1.1,64.0
31.2,62.4,0.076,1.05,108.0
31.2,77.7,0.146,1.14,51.0
32.3,37.6,0.172,1.01,55.0
33.3,53.9,0.213,1.08,51.0
25.2,60.1,0.288,1.09,41.0
25.0,59.1,0.2,1.1,52.0
31.0,50.1,0.236,1.04,45.0
28.0,46.9,0.177,1.05,46.0
29.0,36.3,0.209,1.13,51.0
30.9,49.6,0.068,1.03,104.0
32.8,38.1,0.114,1.12,67.0
21.8,66.7,0.14,1.08,75.0
22.5,40.4,0.168,1.11,92.0
16.9,32.9,0.061,1.11,192.0
26.6,57.6,0.085,1.03,114.0
15.7,59.8,0.119,1.09,125.0
24.3,73.6,0.293,1.13,37.0
25.9,58.8,0.133,1.06,80.0
20.7,47.3,0.171,1.14,82.0
26.8,70.2,0.099,1.07,80.0
15.6,57.0,0.203,1.02,102.0
15.7,34.0,0.12,1.06,127.0
31.5,58.3,0.102,1.14,60.0
22.2,75.4,0.179,1.05,81.0
17.5,49.8,0.051,1.13,201.0
25.4,44.8,0.052,1.13,146.0
30.4,37.2,0.105,1.05,66.0
19.3,37.6,0.059,1.01,191.0
27.5,51.6,0.077,1.11,97.0
16.7,59.8,0.135,1.05,113.0
16.0,34.0,0.251,1.12,88.0
25.6,77.0,0.193,1.07,60.0
25.8,67.8,0.178,1.07,61.0
27.7,59.3,0.123,1.12,62.0
29.5,71.4,0.283,1.06,29.0
34.5,34.0,0.149,1.07,56.0
25.3,53.8,0.072,1.06,115.0
21.5,61.5,0.204,1.06,70.0
30.9,71.4,0.078,1.08,94.0
20.4,69.2,0.136,1.12,101.0
23.8,43.9,0.177,1.05,63.0
16.6,77.0,0.269,1.08,85.0
15.5,36.2,0.173,1.1,111.0
34.3,73.8,0.226,1.04,34.0
31.7,78.5,0.298,1.04,38.0
28.9,38.9,0.083,1.14,118.0
23.2,66.1,0.119,1.11,81.0
18.5,32.0,0.149,1.09,102.0
18.1,50.3,0.155,1.1,79.0
20.0,55.8,0.153,1.0,92.0
26.0,59.0,0.277,1.09,48.0
29.3,76.8,0.229,1.08,42.0
28.2,63.6,0.202,1.08,46.0
20.6,54.1,0.127,1.05,84.0
34.1,70.5,0.256,1.01,34.0
29.8,77.5,0.289,1.03,45.0
26.1,31.1,0.255,1.14,49.0
27.2,79.1,0.05,1.06,140.0
23.4,34.3,0.209,1.07,55.0
20.0,70.7,0.063,1.01,164.0
22.1,44.0,0.114,1.01,100.0
30.2,36.6,0.065,1.11,105.0
15.3,52.0,0.201,1.08,87.0
17.3,62.2,0.222,1.08,75.0
15.9,49.0,0.079,1.04,170.0
15.8,32.7,0.146,1.11,106.0
32.1,60.0,0.164,1.03,48.0
29.1,75.1,0.142,1.03,61.0
24.5,49.2,0.08,1.07,109.0
17.0,40.8,0.155,1.04,120.0
24.8,52.1,0.238,1.04,48.0
24.5,32.4,0.068,1.1,129.0
18.5,71.0,0.07,1.1,150.0
23.7,71.3,0.139,1.12,95.0
23.0,59.4,0.285,1.06,55.0
27.3,47.7,0.217,1.01,46.0
27.7,70.0,0.22,1.04,57.0
15.9,57.7,0.14,1.15,115.0
22.5,71.3,0.198,1.09,67.0
27.5,61.6,0.053,1.11,132.0
25.1,69.2,0.209,1.0,50.0
32.1,59.9,0.278,1.08,37.0
28.2,50.7,0.203,1.01,49.0
18.3,77.9,0.268,1.09,77.0
16.4,57.1,0.231,1.14,70.0
27.8,60.3,0.08,1.15,113.0
15.5,41.0,0.276,1.08,76.0
26.7,61.3,0.067,1.07,122.0
33.8,58.6,0.183,1.14,51.0
26.5,39.2,0.086,1.1,101.0
22.8,33.0,0.053,1.01,174.0
27.9,60.2,0.156,1.07,42.0
24.2,68.2,0.124,1.04,80.0
25.9,56.2,0.172,1.07,58.0
33.8,41.3,0.194,1.07,36.0
22.7,63.3,0.061,1.09,146.0
34.2,34.0,0.081,1.05,86.0
33.1,52.1,0.19,1.02,51.0
18.9,38.2,0.136,1.08,108.0
16.4,39.2,0.232,1.12,78.0
17.0,40.1,0.213,1.1,88.0
15.4,49.3,0.261,1.05,79.0
16.9,32.6,0.223,1.14,92.0
28.7,49.9,0.157,1.14,69.0
16.4,55.6,0.218,1.03,83.0
21.4,54.2,0.119,1.01,95.0
31.9,49.1,0.127,1.11,60.0
15.5,72.0,0.247,1.12,72.0
31.3,37.3,0.162,1.15,56.0
20.6,55.3,0.25,1.13,65.0
17.4,33.1,0.256,1.09,82.0
28.9,33.6,0.264,1.08,46.0
27.6,58.7,0.279,1.0,42.0
32.5,58.3,0.158,1.04,53.0
29.7,73.9,0.13,1.07,60.0
31.1,57.9,0.196,1.09,40.0
20.6,78.0,0.143,1.08,74.0
18.5,32.4,0.2,1.11,79.0
30.0,34.9,0.226,1.04,53.0
31.1,32.2,0.222,1.08,43.0
34.8,39.3,0.144,1.01,53.0
23.3,57.1,0.092,1.06,115.0
22.4,62.3,0.158,1.11,83.0
30.5,32.3,0.086,1.1,84.0
21.8,77.3,0.273,1.15,60.0
33.6,72.1,0.136,1.04,62.0
32.2,44.8,0.089,1.07,73.0
23.6,33.9,0.056,1.05,149.0
30.0,38.5,0.211,1.07,60.0
30.1,36.3,0.209,1.13,50.0
17.1,36.2,0.135,1.1,98.0
33.1,55.9,0.068,1.13,82.0
25.1,42.3,0.152,1.03,74.0
31.5,47.9,0.128,1.13,56.0
21.4,79.5,0.219,1.01,59.0
32.9,64.2,0.201,1.13,42.0
22.8,77.4,0.141,1.05,93.0
15.2,37.1,0.104,1.05,144.0
33.1,49.1,0.297,1.08,42.0
16.8,57.7,0.164,1.14,110.0
21.4,33.8,0.222,1.01,82.0
34.0,30.2,0.085,1.05,84.0
34.0,63.5,0.171,1.13,29.0
26.5,62.1,0.057,1.06,137.0
27.6,50.5,0.176,1.03,69.0
24.0,54.5,0.291,1.06,48.0
20.9,50.8,0.146,1.06,105.0
21.6,31.2,0.06,1.14,170.0
28.5,46.8,0.058,1.11,130.0
30.0,38.9,0.147,1.08,74.0
30.8,34.9,0.09,1.15,91.0
30.8,77.8,0.056,1.07,91.0
16.8,60.0,0.239,1.01,72.0
24.9,66.4,0.165,1.04,78.0
16.2,45.8,0.122,1.07,119.0
26.0,49.7,0.275,1.02,46.0
23.8,41.8,0.079,1.14,115.0
32.8,34.8,0.289,1.12,51.0
22.0,39.0,0.128,1.04,111.0
17.3,69.9,0.272,1.09,59.0
17.9,63.9,0.201,1.11,82.0
30.2,57.3,0.257,1.14,35.0
27.4,53.8,0.296,1.13,47.0
17.0,76.1,0.122,1.08,119.0
16.7,33.6,0.29,1.12,78.0
29.0,44.0,0.147,1.08,69.0
16.5,47.5,0.146,1.08,134.0
31.4,69.1,0.135,1.02,51.0
29.1,79.6,0.185,1.02,36.0
16.6,42.0,0.089,1.08,149.0
16.7,73.7,0.188,1.04,75.0
34.7,71.5,0.185,1.0,28.0
22.5,41.2,0.24,1.11,55.0
22.4,50.0,0.258,1.0,51.0
31.3,50.5,0.16,1.09,48.0
33.9,78.9,0.126,1.08,58.0
34.7,39.0,0.115,1.15,60.0
30.1,70.0,0.099,1.07,77.0
22.5,46.7,0.064,1.01,154.0
16.7,66.5,0.136,1.08,105.0
30.5,51.0,0.118,1.13,69.0
26.2,58.9,0.292,1.15,46.0
23.5,71.6,0.189,1.06,49.0
33.1,70.2,0.137,1.05,35.0
17.2,73.3,0.195,1.14,86.0
24.9,33.0,0.085,1.03,119.0
15.2,64.6,0.161,1.09,122.0
24.4,37.0,0.207,1.06,66.0
16.1,50.8,0.172,1.01,106.0
17.4,57.4,0.15,1.05,101.0
17.4,50.1,0.298,1.04,68.0
28.0,56.0,0.27,1.1,56.0
29.9,79.8,0.206,1.14,27.0
26.7,36.8,0.192,1.04,66.0
34.2,63.8,0.205,1.12,56.0
22.5,49.8,0.1,1.01,112.0
20.7,36.7,0.149,1.08,107.0
32.4,37.9,0.06,1.01,102.0
19.5,77.5,0.169,1.14,82.0
34.3,74.0,0.186,1.11,40.0
15.2,75.4,0.107,1.1,118.0
34.4,79.6,0.291,1.12,16.0
15.9,40.4,0.277,1.1,66.0
32.8,47.8,0.231,1.15,47.0
25.6,63.5,0.183,1.11,69.0
34.9,54.2,0.267,1.14,35.0
16.5,50.9,0.083,1.08,165.0
26.1,47.9,0.248,1.02,50.0
34.4,59.7,0.081,1.08,87.0
25.5,58.8,0.249,1.02,51.0
27.6,38.1,0.119,1.09,83.0
28.9,53.6,0.269,1.07,40.0
24.1,57.7,0.286,1.09,54.0
27.6,58.5,0.087,1.0,93.0
26.7,40.5,0.166,1.03,76.0
33.0,67.1,0.295,1.07,21.0
15.9,31.3,0.171,1.14,96.0
20.6,47.7,0.266,1.06,67.0
34.0,69.0,0.197,1.06,39.0
32.8,58.2,0.144,1.11,52.0
24.1,43.1,0.121,1.09,99.0
27.4,64.7,0.101,1.04,82.0
20.5,58.4,0.24,1.06,63.0
18.8,69.8,0.147,1.03,107.0
24.3,66.8,0.178,1.14,79.0
22.1,60.5,0.173,1.02,88.0
26.7,54.4,0.194,1.06,56.0
16.6,36.7,0.266,1.0,86.0
34.5,43.1,0.295,1.03,25.0
34.7,51.0,0.152,1.12,43.0
29.0,60.0,0.257,1.03,23.0
25.7,55.7,0.241,1.01,65.0
21.2,44.4,0.193,1.07,69.0
31.3,30.3,0.289,1.0,39.0
28.7,54.8,0.1,1.01,78.0
18.3,44.3,0.077,1.12,161.0
33.2,66.7,0.263,1.12,30.0
31.5,31.2,0.16,1.14,49.0
34.0,59.2,0.262,1.13,37.0
29.5,77.1,0.273,1.1,24.0
27.3,38.7,0.066,1.01,116.0
23.4,53.6,0.271,1.12,36.0
33.7,34.6,0.162,1.13,42.0
32.3,61.3,0.178,1.12,49.0
15.9,57.5,0.207,1.08,72.0
15.5,50.4,0.282,1.03,62.0
22.5,56.1,0.055,1.13,161.0
31.2,74.8,0.169,1.11,45.0
34.7,39.8,0.222,1.15,56.0
18.0,31.1,0.231,1.02,94.0
26.9,73.1,0.223,1.03,42.0
22.6,58.9,0.084,1.03,126.0
34.4,74.5,0.125,1.12,60.0
31.8,59.8,0.14,1.03,54.0
31.8,70.5,0.251,1.01,24.0
24.4,51.5,0.12,1.15,90.0
23.3,67.5,0.103,1.0,100.0
20.5,75.7,0.289,1.13,50.0
16.1,58.6,0.052,1.05,217.0
32.3,39.0,0.299,1.13,30.0
31.3,43.4,0.219,1.08,37.0
35.0,39.9,0.257,1.14,37.0
34.9,42.3,0.124,1.14,63.0
26.1,45.3,0.054,1.0,135.0
30.4,57.8,0.234,1.01,50.0
33.9,59.4,0.259,1.04,19.0
32.0,51.3,0.235,1.1,36.0
19.9,60.8,0.086,1.13,130.0
24.0,34.1,0.238,1.07,55.0
17.6,34.4,0.242,1.09,73.0
34.1,38.6,0.215,1.03,58.0
27.1,55.9,0.242,1.12,42.0
19.6,40.7,0.261,1.15,86.0
28.4,44.2,0.203,1.04,58.0
27.4,50.0,0.072,1.07,113.0
22.2,70.6,0.172,1.01,77.0
17.3,30.7,0.069,1.08,195.0
28.4,62.5,0.152,1.08,55.0
25.4,63.4,0.152,1.02,62.0
30.4,69.9,0.067,1.07,95.0
25.4,76.6,0.137,1.05,74.0
32.0,31.0,0.078,1.08,79.0
26.0,37.7,0.252,1.09,53.0
26.2,74.3,0.287,1.0,54.0
32.5,52.9,0.068,1.11,96.0
23.1,58.2,0.289,1.11,48.0
17.7,63.2,0.181,1.05,83.0
15.6,64.0,0.125,1.01,130.0
30.1,76.6,0.069,1.11,92.0
27.4,79.8,0.175,1.14,71.0
29.1,66.0,0.249,1.04,57.0
19.3,44.4,0.227,1.05,76.0
17.7,74.0,0.063,1.03,175.0
15.3,32.5,0.068,1.09,199.0
22.0,41.6,0.151,1.02,96.0
26.8,74.9,0.124,1.05,69.0
22.8,42.8,0.108,1.1,100.0
23.7,41.0,0.12,1.08,84.0
33.1,36.9,0.251,1.06,43.0
22.0,73.0,0.282,1.06,56.0
25.3,55.0,0.151,1.08,63.0
30.7,63.7,0.277,1.0,32.0
22.9,42.0,0.13,1.01,81.0
27.4,67.9,0.169,1.13,52.0
32.2,68.0,0.107,1.01,73.0
34.0,45.6,0.21,1.11,36.0
17.9,50.5,0.295,1.14,62.0
33.5,40.5,0.201,1.04,32.0
24.8,78.8,0.139,1.06,76.0
20.2,62.3,0.212,1.09,70.0
24.2,76.7,0.081,1.13,107.0
34.6,45.2,0.272,1.14,32.0
24.9,69.1,0.176,1.11,66.0
21.6,68.3,0.162,1.01,73.0
27.7,64.6,0.196,1.1,42.0
19.8,78.3,0.206,1.06,85.0
16.5,49.7,0.068,1.07,174.0
17.6,36.5,0.221,1.01,81.0
17.6,63.6,0.11,1.03,131.0
18.0,66.5,0.228,1.12,101.0
17.8,58.8,0.256,1.07,60.0
27.8,40.3,0.251,1.05,53.0
18.6,55.2,0.188,1.06,78.0
21.9,45.6,0.18,1.13,73.0
32.9,51.4,0.086,1.11,75.0
24.5,62.3,0.244,1.04,44.0
28.4,67.3,0.118,1.02,74.0
18.4,41.6,0.174,1.04,80.0
18.8,50.3,0.121,1.14,120.0
15.8,43.5,0.083,1.09,163.0
18.4,39.9,0.207,1.08,86.0
20.6,69.2,0.064,1.09,151.0
18.5,75.5,0.237,1.05,65.0
16.8,48.5,0.129,1.12,120.0
17.4,67.6,0.05,1.08,197.0
24.2,74.8,0.178,1.02,62.0
19.1,72.3,0.062,1.02,160.0
22.3,39.1,0.119,1.08,94.0
25.1,77.8,0.227,1.14,34.0
28.8,48.8,0.066,1.05,124.0
15.8,47.0,0.26,1.13,72.0
31.0,33.1,0.051,1.11,136.0
27.6,54.3,0.112,1.04,91.0
16.6,35.5,0.235,1.01,72.0
32.5,42.4,0.129,1.02,55.0
33.4,45.8,0.075,1.11,108.0
16.2,70.4,0.14,1.03,124.0
20.5,73.8,0.118,1.06,102.0
31.1,45.1,0.261,1.08,43.0
30.0,72.9,0.128,1.11,59.0
18.7,72.9,0.247,1.02,69.0
19.2,68.2,0.273,1.06,55.0
22.4,37.3,0.158,1.07,68.0
24.7,64.5,0.277,1.08,37.0
27.4,77.3,0.144,1.12,65.0
22.4,64.1,0.291,1.03,42.0
24.3,46.6,0.072,1.12,127.0
29.9,55.0,0.222,1.1,37.0
15.7,62.3,0.173,1.08,92.0
20.0,55.5,0.147,1.1,100.0
29.3,36.0,0.208,1.06,55.0
32.9,45.6,0.226,1.02,42.0
25.2,70.1,0.051,1.1,155.0
25.6,73.1,0.092,1.08,102.0
17.1,36.9,0.228,1.1,93.0
23.9,77.6,0.217,1.05,52.0
25.7,46.4,0.292,1.14,44.0
19.8,63.1,0.24,1.09,55.0
20.4,67.6,0.288,1.01,52.0
22.5,70.6,0.226,1.07,67.0
15.4,77.3,0.125,1.11,132.0
21.4,45.6,0.076,1.12,145.0
19.2,72.9,0.245,1.07,50.0
21.5,36.6,0.211,1.13,81.0
17.4,65.3,0.062,1.04,165.0
32.8,67.1,0.14,1.06,62.0
26.9,63.9,0.289,1.13,38.0
28.6,42.6,0.175,1.13,66.0
30.8,73.7,0.158,1.1,42.0
25.0,38.4,0.164,1.13,83.0
16.7,32.7,0.102,1.01,128.0
25.7,65.9,0.142,1.13,68.0
26.7,53.8,0.142,1.05,64.0
29.9,72.5,0.063,1.03,93.0
23.6,49.2,0.242,1.04,59.0
17.6,38.4,0.154,1.06,118.0
20.7,71.8,0.256,1.04,80.0
22.3,57.4,0.263,1.05,57.0
27.9,39.5,0.103,1.02,98.0
26.4,66.0,0.214,1.04,55.0
22.1,55.6,0.168,1.09,82.0
34.7,60.2,0.27,1.07,28.0
27.1,53.0,0.104,1.05,90.0
19.7,71.4,0.219,1.11,73.0
17.0,71.5,0.202,1.13,77.0
18.1,65.5,0.124,1.11,111.0
19.9,35.3,0.084,1.05,139.0
18.2,71.9,0.213,1.11,82.0
18.7,63.6,0.235,1.02,61.0
20.7,64.9,0.129,1.02,97.0
18.5,48.1,0.211,1.05,95.0
32.9,74.0,0.149,1.12,60.0
16.6,66.3,0.228,1.04,89.0
25.5,35.6,0.1,1.01,101.0
23.2,50.4,0.273,1.02,57.0
34.6,74.3,0.122,1.13,63.0
17.2,32.4,0.142,1.1,124.0
23.0,78.1,0.065,1.04,122.0
34.4,64.0,0.078,1.08,68.0
32.3,61.6,0.179,1.08,58.0
31.3,43.5,0.117,1.1,69.0
20.2,42.4,0.259,1.03,60.0
18.4,77.1,0.054,1.13,177.0
28.4,44.9,0.145,1.05,64.0
33.6,68.8,0.134,1.1,43.0
26.1,49.7,0.055,1.0,158.0
26.4,37.0,0.081,1.06,110.0
20.6,30.5,0.153,1.05,93.0
30.4,57.2,0.173,1.08,58.0
18.7,78.8,0.151,1.01,100.0
21.5,48.5,0.183,1.12,85.0
23.5,47.9,0.199,1.03,76.0
25.2,47.2,0.052,1.1,146.0
19.8,56.0,0.166,1.12,84.0
17.3,52.0,0.291,1.08,72.0
